iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
106,36131615.2,36131615.2,-9979.0,428,ER16,20
107,36121615.2,36121615.2,-10000.0,432,ER16,20
108,36111641.2,36111641.2,-9974.0,455,ER5,20
109,36101642.6,36101642.6,-9998.6,802,ER6,20
110,36091670.4,36091670.4,-9972.2,739,ER5,20
111,36081699.0,36081699.0,-9971.4,598,ER13,20
112,36071731.0,36071731.0,-9968.0,704,ER5,20
113,36071709.8,36071709.8,-21.2,671,ER10,20
114,36061727.0,36061727.0,-9982.8,675,ER2,20
115,36061706.0,36061706.0,-21.0,609,ER15,20
116,36061685.0,36061685.0,-21.0,444,ER16,20
117,36061671.0,36061671.0,-14.000000000000002,542,ER10,20
118,36061657.8,36061657.8,-13.2,563,ER6,20
119,36051679.199999996,36051679.199999996,-9978.6,904,ER5,20
120,36051667.199999996,36051667.199999996,-12.0,834,ER8,20
121,36051653.199999996,36051653.199999996,-14.0,796,ER2,20
122,36051641.99999999,36051641.99999999,-11.2,466,ER11,20
123,36041654.699999996,36041654.699999996,-9987.3,879,ER9,20
124,36041643.699999996,36041643.699999996,-11.0,529,ER4,20
125,36041632.699999996,36041632.699999996,-11.0,792,ER4,20
126,36041622.199999996,36041622.199999996,-10.5,433,ER15,20
127,36041611.699999996,36041611.699999996,-10.5,612,ER15,20
128,36041601.199999996,36041601.199999996,-10.5,897,ER16,20
129,36041590.699999996,36041590.699999996,-10.5,795,ER7,20
130,36041582.099999994,36041582.099999994,-8.599999999999998,815,ER8,20
131,36031603.099999994,36031603.099999994,-9979.0,435,ER15,20
132,36031582.099999994,36031582.099999994,-21.0,429,ER15,20
133,36011571.599999994,36011571.599999994,-20010.5,727,ER16,20
134,36001571.599999994,36001571.599999994,-10000.0,440,ER15,20
135,35991592.599999994,35991592.599999994,-9979.0,616,ER16,20
136,35991590.099999994,35991590.099999994,-2.5,447,ER5,20
137,35991588.3,35991588.3,-1.799999999999999,813,ER11,20
138,35991584.699999996,35991584.699999996,-3.6000000000000014,828,ER1,20
139,35991583.099999994,35991583.099999994,-1.6000000000000014,535,ER4,20
140,35991581.699999996,35991581.699999996,-1.4000000000000004,823,ER9,20
141,35981585.699999996,35981585.699999996,-9996.0,546,ER14,20
142,35971597.9,35971597.9,-9987.8,525,ER10,20
143,35971597.9,35971597.9,0.0,461,ER9,20
144,35961597.9,35961597.9,-10000.0,622,ER10,20
145,35961597.9,35961597.9,0.0,465,ER5,20
146,35961597.9,35961597.9,0.0,465,ER8,20
147,35961597.9,35961597.9,0.0,439,ER15,20
148,35961597.9,35961597.9,0.0,439,ER16,20
149,35961597.9,35961597.9,0.0,584,ER15,20
150,35751597.9,35751597.9,0.0,465,ER5,20
151,35751597.9,35751597.9,0.0,475,ER5,20
152,35741619.3,35741619.3,-9978.6,574,ER6,20
153,35741619.3,35741619.3,0.0,584,ER5,20
154,35741619.3,35741619.3,0.0,572,ER6,20
155,35741619.3,35741619.3,0.0,572,ER5,20
156,35741619.3,35741619.3,0.0,737,ER5,20
157,35741607.9,35741607.9,-11.399999999999997,449,ER14,20
158,35741607.1,35741607.1,-0.8000000000000007,738,ER10,20
159,35731631.1,35731631.1,-9976.0,627,ER14,20
160,35731619.1,35731619.1,-12.0,624,ER14,20
161,35731619.1,35731619.1,0.0,466,ER10,20
162,35731619.1,35731619.1,0.0,466,ER11,20
163,35731619.1,35731619.1,0.0,703,ER16,20
164,35731619.1,35731619.1,0.0,703,ER13,20
165,35731619.1,35731619.1,0.0,709,ER5,20
166,35731619.1,35731619.1,0.0,709,ER13,20
167,35731619.1,35731619.1,0.0,545,ER13,20
168,35731619.1,35731619.1,0.0,439,ER15,20
169,35731619.1,35731619.1,0.0,439,ER16,20
170,35731619.1,35731619.1,0.0,584,ER15,20
171,35731619.1,35731619.1,0.0,575,ER15,20
172,35721631.9,35721631.9,-9987.2,881,ER5,20
173,35721631.9,35721631.9,0.0,573,ER15,20
174,35721631.9,35721631.9,0.0,573,ER5,20
175,35721631.9,35721631.9,0.0,572,ER6,20
176,35721631.9,35721631.9,0.0,572,ER5,20
177,35721631.9,35721631.9,0.0,545,ER12,20
178,35721631.9,35721631.9,0.0,728,ER16,20
179,35721631.9,35721631.9,0.0,728,ER15,20
180,35721631.9,35721631.9,0.0,796,ER6,20
181,35721628.4,35721628.4,-3.5,800,ER5,20
182,35721628.4,35721628.4,0.0,466,ER10,20
183,35721628.4,35721628.4,0.0,466,ER11,20
184,35721628.4,35721628.4,0.0,703,ER16,20
185,35721628.4,35721628.4,0.0,703,ER13,20
186,35721628.4,35721628.4,0.0,709,ER5,20
187,35721628.4,35721628.4,0.0,709,ER13,20
188,35721628.4,35721628.4,0.0,545,ER13,20
189,35721628.4,35721628.4,0.0,439,ER15,20
190,35721628.4,35721628.4,0.0,439,ER16,20
191,35721628.4,35721628.4,0.0,799,ER6,20
192,35721628.4,35721628.4,0.0,799,ER7,20
193,35721628.4,35721628.4,0.0,861,ER8,20
194,35721628.4,35721628.4,0.0,573,ER15,20
195,35721628.4,35721628.4,0.0,573,ER5,20
196,35721628.4,35721628.4,0.0,572,ER6,20
197,35721628.4,35721628.4,0.0,572,ER5,20
198,35721628.4,35721628.4,0.0,545,ER12,20
199,35721628.4,35721628.4,0.0,728,ER16,20
200,35751628.4,35721628.4,0.0,728,ER15,20
201,35751628.4,35721628.4,0.0,861,ER1,20
202,35751628.4,35721628.4,0.0,858,ER11,20
203,35751627.8,35721628.4,-0.6000000000000014,562,ER4,20
204,35751627.199999996,35721628.4,-0.5999999999999979,522,ER11,20
205,35741654.4,35721628.4,-9972.8,744,ER4,20
206,35741640.5,35721628.4,-13.9,447,ER14,20
207,35731640.5,35721628.4,-10000.0,743,ER4,20
208,35731640.5,35721628.4,0.0,466,ER10,20
209,35731640.5,35721628.4,0.0,466,ER11,20
210,35731640.5,35721628.4,0.0,439,ER15,20
211,35731640.5,35721628.4,0.0,439,ER16,20
212,35731640.5,35721628.4,0.0,703,ER16,20
213,35731640.5,35721628.4,0.0,703,ER13,20
214,35731640.5,35721628.4,0.0,709,ER5,20
