iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
104,29151473.400000002,29151473.400000002,-11.5,97,ER5,20
105,29151459.400000002,29151459.400000002,-14.0,192,ER8,20
106,29151448.1,29151448.1,-11.3,168,ER11,20
107,29151437.1,29151437.1,-11.000000000000002,303,ER10,20
108,29151426.1,29151426.1,-11.000000000000002,286,ER13,20
109,29151415.1,29151415.1,-11.0,269,ER7,20
110,29151405.1,29151405.1,-10.0,61,ER1,20
111,29151395.1,29151395.1,-10.0,200,ER2,20
112,29151389.1,29151389.1,-6.0,285,ER4,20
113,29141416.3,29141416.3,-9972.8,132,ER14,20
114,29141402.3,29141402.3,-14.0,209,ER13,20
115,29141390.8,29141390.8,-11.5,387,ER8,20
116,29141387.3,29141387.3,-3.5,271,ER3,20
117,29141384.1,29141384.1,-3.200000000000003,338,ER10,20
118,29141382.6,29141382.6,-1.5,244,ER8,20
119,29141381.0,29141381.0,-1.6000000000000014,328,ER3,20
120,29141379.5,29141379.5,-1.5,233,ER5,20
121,29131404.5,29131404.5,-9975.0,253,ER9,20
122,29131403.0,29131403.0,-1.5,214,ER7,20
123,29131391.0,29131391.0,-12.0,92,ER2,20
124,29131389.5,29131389.5,-1.5,422,ER5,20
125,29131388.5,29131388.5,-1.0,151,ER3,20
126,29131387.5,29131387.5,-1.0,215,ER1,20
127,29131387.0,29131387.0,-0.5,379,ER1,20
128,29131386.8,29131386.8,-0.20000000000000284,344,ER8,20
129,29131386.8,29131386.8,0.0,43,ER15,20
130,29131371.8,29131371.8,-15.000000000000002,292,ER10,20
131,29131371.8,29131371.8,0.0,325,ER9,20
132,29131371.8,29131371.8,0.0,325,ER11,20
133,29131371.8,29131371.8,0.0,54,ER16,20
134,29121384.6,29121384.6,-9987.2,61,ER14,20
135,29121384.6,29121384.6,0.0,55,ER16,20
136,29111411.8,29111411.8,-9972.8,95,ER14,20
137,29111411.8,29111411.8,0.0,52,ER16,20
138,29111411.8,29111411.8,0.0,52,ER14,20
139,29111411.8,29111411.8,0.0,48,ER7,20
140,29111411.8,29111411.8,0.0,48,ER14,20
141,29111411.8,29111411.8,0.0,129,ER8,20
142,29111411.8,29111411.8,0.0,129,ER5,20
143,29111411.8,29111411.8,0.0,228,ER14,20
144,29111411.8,29111411.8,0.0,327,ER12,20
145,29111411.8,29111411.8,0.0,327,ER9,20
146,29111411.8,29111411.8,0.0,228,ER12,20
147,29111411.8,29111411.8,0.0,165,ER14,20
148,29111399.0,29111399.0,-12.8,168,ER14,20
149,29111399.0,29111399.0,0.0,269,ER3,20
150,28901394.4,28901394.4,-4.6,82,ER14,20
151,28891407.599999998,28891407.599999998,-9986.8,320,ER3,20
152,28891393.2,28891393.2,-14.399999999999999,321,ER4,20
153,28881399.599999998,28881399.599999998,-9993.6,151,ER9,20
154,28881388.599999998,28881388.599999998,-11.0,270,ER3,20
